ticker,month,monthly_return_percentage
WSKT.JK,2023-02,3.571428571428571
WSKT.JK,2023-03,-35.05747126436782
WSKT.JK,2023-04,2.6785714285714284
WSKT.JK,2023-05,-5.607476635514018
WSKT.JK,2023-06,0.0
WSKT.JK,2023-07,0.0
WSKT.JK,2023-08,0.0
WSKT.JK,2023-09,0.0
WSKT.JK,2023-10,0.0
WSKT.JK,2023-11,0.0
WSKT.JK,2023-12,0.0
SRIL.JK,2023-01,0.0
SRIL.JK,2023-02,0.0
SRIL.JK,2023-03,0.0
SRIL.JK,2023-04,0.0
SRIL.JK,2023-05,0.0
SRIL.JK,2023-06,0.0
SRIL.JK,2023-07,0.0
SRIL.JK,2023-08,0.0
SRIL.JK,2023-09,0.0
SRIL.JK,2023-10,0.0
SRIL.JK,2023-11,0.0
SRIL.JK,2023-12,0.0
OKAS.JK,2023-01,48.148148148148145
OKAS.JK,2023-02,-14.723926380368098
OKAS.JK,2023-03,-3.0303030303030303
OKAS.JK,2023-04,-19.841269841269842
OKAS.JK,2023-05,36.79245283018868
OKAS.JK,2023-06,-0.7246376811594203
OKAS.JK,2023-07,-13.970588235294118
OKAS.JK,2023-08,13.91304347826087
OKAS.JK,2023-09,-17.037037037037038
OKAS.JK,2023-10,0.9090909090909091
OKAS.JK,2023-11,-2.7522935779816518
OKAS.JK,2023-12,-10.576923076923077
JRPT.JK,2023-01,-0.8130081300813009
JRPT.JK,2023-02,0.8163265306122449
JRPT.JK,2023-03,-0.8097165991902834
JRPT.JK,2023-04,7.142857142857142
JRPT.JK,2023-05,-1.9230769230769231
JRPT.JK,2023-06,3.9215686274509802
JRPT.JK,2023-07,5.607476635514018
JRPT.JK,2023-08,8.695652173913043
JRPT.JK,2023-09,8.19672131147541
JRPT.JK,2023-10,4.511278195488721
JRPT.JK,2023-11,3.571428571428571
JRPT.JK,2023-12,-3.4482758620689653
KARW.JK,2023-01,-16.853932584269664
KARW.JK,2023-02,-5.333333333333334
KARW.JK,2023-03,-26.38888888888889
KARW.JK,2023-04,14.814814814814813
